Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
hairbow-satin,Satin Hairbow,Color,Brown,,,,,satin-hairbow-brown,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Cream,,,,,satin-hairbow-cream,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Green,,,,,satin-hairbow-green,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Grey,,,,,satin-hairbow-grey,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Lilac,,,,,satin-hairbow-lilac,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Magenta,,,,,satin-hairbow-magenta,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Metallic-olive,,,,,satin-hairbow-metallic-olive,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Peach-cream,,,,,satin-hairbow-peach-cream,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Peach-pink,,,,,satin-hairbow-peach-pink,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Petrol,,,,,satin-hairbow-petrol,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Red,,,,,satin-hairbow-red,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Sky-blue,,,,,satin-hairbow-sky-blue,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,White,,,,,satin-hairbow-white,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Wine,,,,,satin-hairbow-wine,,,Primary location,0,0,0,50,50
hairbow-satin,Satin Hairbow,Color,Yellow,,,,,satin-hairbow-yellow,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Black,,,,,satin-mini-hairbow-black,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Chocolate,,,,,satin-mini-hairbow-chocolate,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Combo,,,,,satin-mini-hairbow-combo,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Cream,,,,,satin-mini-hairbow-cream,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Grey,,,,,satin-mini-hairbow-grey,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Lilac,,,,,satin-mini-hairbow-lilac,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Magenta,,,,,satin-mini-hairbow-magenta,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Peach,,,,,satin-mini-hairbow-peach,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Petrol-blue,,,,,satin-mini-hairbow-petrol-blue,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Pistachio,,,,,satin-mini-hairbow-pistachio,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Red,,,,,satin-mini-hairbow-red,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Sky-blue,,,,,satin-mini-hairbow-sky-blue,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,White,,,,,satin-mini-hairbow-white,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Wine,,,,,satin-mini-hairbow-wine,,,Primary location,0,0,0,50,50
hairbow-satin-mini,Satin Mini Hairbow,Color,Yellow,,,,,satin-mini-hairbow-yellow,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Black,,,,,satin-princes-hairbow-black,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Chocolate,,,,,satin-princes-hairbow-chocolate,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Combo,,,,,satin-princes-hairbow-combo,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Cream,,,,,satin-princes-hairbow-cream,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Grey,,,,,satin-princes-hairbow-grey,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Light-yellow,,,,,satin-princes-hairbow-light-yellow,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Lilac,,,,,satin-princes-hairbow-lilac,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Magenta,,,,,satin-princes-hairbow-magenta,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Peach,,,,,satin-princes-hairbow-peach,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Petrol-blue,,,,,satin-princes-hairbow-petrol-blue,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Pistachio,,,,,satin-princes-hairbow-pistachio,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Red,,,,,satin-princes-hairbow-red,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,Sky-blue,,,,,satin-princes-hairbow-sky-blue,,,Primary location,0,0,0,50,50
hairbow-satin-princes,Satin Princes Hairbow,Color,White,,,,,satin-princes-hairbow-white,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Black,,,,,satin-tulip-hairbow-black,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Chocolate,,,,,satin-tulip-hairbow-chocolate,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Cream,,,,,satin-tulip-hairbow-cream,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Grey,,,,,satin-tulip-hairbow-grey,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Light-yellow,,,,,satin-tulip-hairbow-light-yellow,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Lilac,,,,,satin-tulip-hairbow-lilac,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Magenta,,,,,satin-tulip-hairbow-magenta,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Peach,,,,,satin-tulip-hairbow-peach,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Petrol-blue,,,,,satin-tulip-hairbow-petrol-blue,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Pistachio,,,,,satin-tulip-hairbow-pistachio,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Red,,,,,satin-tulip-hairbow-red,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Sky-blue,,,,,satin-tulip-hairbow-sky-blue,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,White,,,,,satin-tulip-hairbow-white,,,Primary location,0,0,0,50,50
hairbow-satin-tulip,Satin Tulip Hairbow,Color,Wine,,,,,satin-tulip-hairbow-wine,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Black,,,,,scarf-hairbow-black,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Brown,,,,,scarf-hairbow-brown,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Cream,,,,,scarf-hairbow-cream,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Green,,,,,scarf-hairbow-green,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Grey,,,,,scarf-hairbow-grey,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Lavender,,,,,scarf-hairbow-lavender,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Magenta,,,,,scarf-hairbow-magenta,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Peach,,,,,scarf-hairbow-peach,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Petrol,,,,,scarf-hairbow-petrol,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Red,,,,,scarf-hairbow-red,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Sky-blue,,,,,scarf-hairbow-sky-blue,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,White,,,,,scarf-hairbow-white,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Wine,,,,,scarf-hairbow-wine,,,Primary location,0,0,0,50,50
hairbow-scarf,Scarf Hairbow,Color,Yellow,,,,,scarf-hairbow-yellow,,,Primary location,0,0,0,50,50
hairbow-sheer-satin,Sheer Satin Hairbow,Color,Beige,,,,,sheer-satin-hairbow-beige,,,Primary location,0,0,0,50,50
hairbow-sheer-satin,Sheer Satin Hairbow,Color,Golden-brown,,,,,sheer-satin-hairbow-golden-brown,,,Primary location,0,0,0,50,50
hairbow-sheer-satin,Sheer Satin Hairbow,Color,Lavender,,,,,sheer-satin-hairbow-lavender,,,Primary location,0,0,0,50,50
hairbow-sheer-satin,Sheer Satin Hairbow,Color,Magenta,,,,,sheer-satin-hairbow-magenta,,,Primary location,0,0,0,50,50
hairbow-sheer-satin,Sheer Satin Hairbow,Color,Maroon,,,,,sheer-satin-hairbow-maroon,,,Primary location,0,0,0,50,50
hairbow-sheer-satin,Sheer Satin Hairbow,Color,Mint-green,,,,,sheer-satin-hairbow-mint-green,,,Primary location,0,0,0,50,50
hairbow-sheer-satin,Sheer Satin Hairbow,Color,Navy-blue,,,,,sheer-satin-hairbow-navy-blue,,,Primary location,0,0,0,50,50
hairbow-sheer-satin,Sheer Satin Hairbow,Color,Olive-green,,,,,sheer-satin-hairbow-olive-green,,,Primary location,0,0,0,50,50
hairbow-sheer-satin,Sheer Satin Hairbow,Color,Yellow,,,,,sheer-satin-hairbow-yellow,,,Primary location,0,0,0,50,50
hairbow-velvet,Velvet Hairbow,Color,Black,,,,,velvet-hairbow-black,,,Primary location,0,0,0,50,50
hairbow-velvet,Velvet Hairbow,Color,Red,,,,,velvet-hairbow-red,,,Primary location,0,0,0,50,50
scrunchie-classic,Classic Scrunchie,Color,Brown,,,,,classic-scrunchie-brown,,,Primary location,0,0,0,50,50
scrunchie-classic,Classic Scrunchie,Color,Golden,,,,,classic-scrunchie-golden,,,Primary location,0,0,0,50,50
scrunchie-classic,Classic Scrunchie,Color,Grey,,,,,classic-scrunchie-grey,,,Primary location,0,0,0,50,50
scrunchie-classic,Classic Scrunchie,Color,Lavender,,,,,classic-scrunchie-lavender,,,Primary location,0,0,0,50,50
scrunchie-classic,Classic Scrunchie,Color,Metallic-olive,,,,,classic-scrunchie-metallic-olive,,,Primary location,0,0,0,50,50
scrunchie-classic,Classic Scrunchie,Color,Petrol,,,,,classic-scrunchie-petrol,,,Primary location,0,0,0,50,50
scrunchie-classic,Classic Scrunchie,Color,White,,,,,classic-scrunchie-white,,,Primary location,0,0,0,50,50
scrunchie-classic,Classic Scrunchie,Color,Yellow,,,,,classic-scrunchie-yellow,,,Primary location,0,0,0,50,50
scrunchie-classic,Classic Scrunchie,Color,Triple-colour,,,,,classic-scrunchie-triple-colour,,,Primary location,0,0,0,50,50
scrunchie-combo,Combo Scrunchie,Color,Mixed,,,,,combo-scrunchie,,,Primary location,0,0,0,50,50
scrunchie-combo,Combo Scrunchie,Color,Tulip,,,,,combo-scrunchie-tulip,,,Primary location,0,0,0,50,50
scrunchie-combo,Combo Scrunchie,Color,Tulip-sheer,,,,,combo-scrunchie-tulip-sheer,,,Primary location,0,0,0,50,50
scrunchie-satin-mini,Satin Mini Scrunchie,Color,Mixed,,,,,satin-mini-scrunchie,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Black,,,,,tulip-scrunchie-black,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Brown,,,,,tulip-scrunchie-brown,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Cream,,,,,tulip-scrunchie-cream,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Grey,,,,,tulip-scrunchie-grey,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Lavender,,,,,tulip-scrunchie-lavender,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Magenta,,,,,tulip-scrunchie-magenta,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Metallic-olive,,,,,tulip-scrunchie-metallic-olive,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Peach,,,,,tulip-scrunchie-peach,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Petrol,,,,,tulip-scrunchie-petrol,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Red,,,,,tulip-scrunchie-red,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Sky-blue,,,,,tulip-scrunchie-sky-blue,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,White,,,,,tulip-scrunchie-white,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Wine,,,,,tulip-scrunchie-wine,,,Primary location,0,0,0,50,50
scrunchie-tulip,Tulip Scrunchie,Color,Yellow,,,,,tulip-scrunchie-yellow,,,Primary location,0,0,0,50,50
scrunchie-tulip-sheer,Tulip Sheer Scrunchie,Color,Lilac,,,,,tulip-sheer-scrunchie-lilac,,,Primary location,0,0,0,50,50
scrunchie-tulip-sheer,Tulip Sheer Scrunchie,Color,Maroon,,,,,tulip-sheer-scrunchie-maroon,,,Primary location,0,0,0,50,50
scrunchie-tulip-sheer,Tulip Sheer Scrunchie,Color,Navy-blue,,,,,tulip-sheer-scrunchie-navy-blue,,,Primary location,0,0,0,50,50
scrunchie-tulip-sheer,Tulip Sheer Scrunchie,Color,Peach-cream,,,,,tulip-sheer-scrunchie-peach-cream,,,Primary location,0,0,0,50,50
scrunchie-tulip-sheer,Tulip Sheer Scrunchie,Color,Yellow,,,,,tulip-sheer-scrunchie-yellow,,,Primary location,0,0,0,50,50
hairbow-printed-mini,Printed Mini Hairbow,Color,Standard,,,,,hairbow-printed-mini-standard,,,Primary location,0,0,0,50,50
scrunchie-satin-printed,Satin Printed Scrunchie,Color,Standard,,,,,satin-printed-scrunchie-standard,,,Primary location,0,0,0,50,50
hairclip-rose,Rose Hairclip,Color,Red,,,,,hairclip-rose-red,,,Primary location,0,0,0,50,50
hairclip-rose,Rose Hairclip,Color,White,,,,,hairclip-rose-white,,,Primary location,0,0,0,50,50
hairclip-rose,Rose Hairclip,Color,Magenta,,,,,hairclip-rose-magenta,,,Primary location,0,0,0,50,50
hairclip-rose,Rose Hairclip,Color,Mauve,,,,,hairclip-rose-mauve,,,Primary location,0,0,0,50,50
hairclip-rose,Rose Hairclip,Color,Combo,,,,,hairclip-rose-combo,,,Primary location,0,0,0,50,50
